code,current,name,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,disciplines,events,birth_place,birth_country,residence_place,residence_country,occupation,lang,age,medal_date,medal_type,medal_code,discipline,event,event_type,is_medallist,medallist_binary,in_team
1569563,True,KUO Hsing-Chun,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,['Weightlifting'],"[""Women's 59kg""]",TAITUNG,Chinese Taipei,KAOHSIUNG,Chinese Taipei,"Athlete, physical education teacher",Mandarin,30,2024-08-08,Bronze Medal,3.0,Weightlifting,Women's 59kg,ATH,True,1,False
1569570,True,CHEN Wen-Huei,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,['Weightlifting'],"[""Women's 71kg""]",unspecified,unspecified,unspecified,Chinese Taipei,Athlete,"Hokkien, Mandarin",27,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569571,True,GAN Ching Hwee,Female,Athlete,SGP,Singapore,Singapore,Singapore,Singapore,SGP,['Swimming'],"[""Women's 1500m Freestyle"", ""Women's 4 x 100m Medley Relay"", ""Women's 800m Freestyle""]",SINGAPORE,Singapore,"BLOOMINGTON, IN",United States,Student,English,21,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,True
1569762,True,FANG Wan-Ling,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,['Weightlifting'],"[""Women's 49kg""]",CHIAYI,Chinese Taipei,unspecified,unspecified,Athlete,Mandarin,24,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569819,True,YILDIRIM Enver,Male,Athlete,TUR,Türkiye,Türkiye,Türkiye,Türkiye,TUR,['Fencing'],"[""Men's Sabre Individual""]",ANKARA,Türkiye,unspecified,unspecified,Athlete,"English, Turkish",28,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569820,True,ERBIL Nisanur,Female,Athlete,TUR,Türkiye,Türkiye,Türkiye,Türkiye,TUR,['Fencing'],"[""Women's Sabre Individual""]",SAMSUN,Türkiye,ANKARA,Türkiye,"Athlete, student",Turkish,21,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569829,True,OPEYORI Anuoluwapo Juwon,Male,Athlete,NGR,Nigeria,Nigeria,Nigeria,Nigeria,NGR,['Badminton'],"[""Men's Singles""]",unspecified,unspecified,LAGOS,Nigeria,Athlete,English,27,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569832,True,TSIKHANTSOU Yauheni,Male,Athlete,AIN,AIN,AIN,Belarus,Belarus,BLR,['Weightlifting'],"[""Men's 102kg""]",GOMEL,Belarus,GOMEL,Belarus,Athlete,Russian,25,2024-08-10,Bronze Medal,3.0,Weightlifting,Men's 102kg,ATH,True,1,False
1569845,True,YANG Kun-Pi,Male,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,['Shooting'],['Trap Men'],CHANGHUA,Chinese Taipei,CHANGHUA,Chinese Taipei,Athlete,"English, Mandarin",25,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569850,True,LIN Yi Chun,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,['Shooting'],['Trap Women'],TAOYUAN,Chinese Taipei,TAOYUAN,Chinese Taipei,Athlete,Chinese,43,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569852,True,LEE Meng Yuan,Male,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,['Shooting'],['Skeet Men'],TAOYUAN,Chinese Taipei,TAOYUAN,Chinese Taipei,Athlete,Mandarin,29,2024-08-03,Bronze Medal,3.0,Shooting,Skeet Men,ATH,True,1,False
1569854,True,TIEN Chia Chen,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,['Shooting'],['25m Pistol Women'],HSINCHU,Chinese Taipei,TAOYUAN,Chinese Taipei,Athlete,Mandarin,40,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569857,True,LIU Heng Yu,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,['Shooting'],['10m Air Pistol Women'],unspecified,Chinese Taipei,YUNLIN,Chinese Taipei,Student,"English, Mandarin",21,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569858,True,WU Chia Ying,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,['Shooting'],['25m Pistol Women'],KAOHSIUNG,Chinese Taipei,TAOYUAN,Chinese Taipei,Athlete,Mandarin,31,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569861,True,LIU Wan-Yu,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,['Shooting'],['Trap Women'],CHIAYI,Chinese Taipei,CHIAYI,Chinese Taipei,Athlete,Mandarin,29,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
